fips,name,median_hh_income,median_age,population,log_population,pct_bachelors_plus,pct_poverty,pct_nhwhite,pct_native_american
47011,"Bradley County, Tennessee",60692,39.9,108859,5.036864340485587,23.890519656332515,13.409136207894761,83.89200709174253,0.1855611387207305
47013,"Campbell County, Tennessee",48258,44.2,39397,4.595463152458813,12.943537031822022,19.438664030798044,95.86262913419804,0.04315049369241313
47015,"Cannon County, Tennessee",57651,40.7,14481,4.1607985535383545,17.496127033307513,15.12909979064899,92.9079483461087,0.13120640839721012
47017,"Carroll County, Tennessee",49700,41.7,28381,4.453027693687723,19.81360383090469,16.44806547075372,84.02804693280716,0.10922800465099891
47019,"Carter County, Tennessee",47994,46.0,56315,4.750624088449305,21.120699902527164,18.139824760787477,92.92905975317412,0.06215040397762585
47021,"Cheatham County, Tennessee",77014,40.9,41184,4.614728525224293,22.89366053169734,9.342211956655282,90.20493395493395,0.24766899766899766
47023,"Chester County, Tennessee",57471,38.0,17392,4.240349526742219,16.356547935495307,15.823970037453183,84.57911683532659,0.0
47025,"Claiborne County, Tennessee",42406,42.0,32092,4.506396783530457,18.754337265787647,18.335127377108,94.69026548672566,0.05920478623956127
47027,"Clay County, Tennessee",39572,47.4,7592,3.880356199419236,12.304900181488202,22.266720064076893,93.86195995785037,0.38198103266596417
47029,"Cocke County, Tennessee",45110,45.5,36186,4.558540578854596,11.728207080319757,20.10843610416608,92.50815232410325,0.47255844801857066
47031,"Coffee County, Tennessee",57424,39.3,58080,4.7640266076920375,23.327337673853012,16.896011147883645,86.73553719008265,0.024104683195592287
47033,"Crockett County, Tennessee",59136,40.2,13955,4.14472984082465,15.527426160337555,15.629322268326417,71.95987101397348,0.6305983518452167
47035,"Cumberland County, Tennessee",56002,52.6,61552,4.7892421689627405,18.104536655163706,12.636677064521425,93.7548739277359,0.16408890044190277
47037,"Davidson County, Tennessee",71863,34.7,709786,5.851127428960983,45.98480765309933,14.335472363516995,55.56111278610736,0.06818956699624958
47039,"Decatur County, Tennessee",48466,45.8,11483,4.060055364824845,15.63326123527998,19.24203425934144,91.04763563528695,0.0
47041,"DeKalb County, Tennessee",46907,42.1,20209,4.305544823894977,20.401779507854858,20.212282031842303,87.01073779009351,0.3018457123063981
47043,"Dickson County, Tennessee",68492,39.2,54563,4.7368982408204765,19.314855349560904,10.857015573663988,88.16230779099389,0.17960889247292122
47045,"Dyer County, Tennessee",53150,40.5,36818,4.56606019338704,21.623566089771774,16.333968359148514,78.3068064533652,0.1032103862241295
47047,"Fayette County, Tennessee",81074,46.8,42228,4.625600512882817,25.67477560341273,9.692274482527043,66.74481386757601,0.042625745950554135
47049,"Fentress County, Tennessee",47884,46.3,18642,4.270492503638618,16.323496617854754,20.16695957820738,95.34921145799807,0.0
